root@notebook-1898717724949078018-scngsz9kqh-56749:~# python model.py 
Training Original BotRGCN:
Epoch 001 | Loss: 6.1704 | Val Acc: 0.3677 | Val F1: 0.2688
Epoch 002 | Loss: 17.0221 | Val Acc: 0.3677 | Val F1: 0.2688
Epoch 003 | Loss: 4.8141 | Val Acc: 0.7873 | Val F1: 0.7568
Epoch 004 | Loss: 1.0193 | Val Acc: 0.7637 | Val F1: 0.6845
Epoch 005 | Loss: 0.8572 | Val Acc: 0.8025 | Val F1: 0.7488
Epoch 006 | Loss: 0.4904 | Val Acc: 0.8327 | Val F1: 0.7943
Epoch 007 | Loss: 0.4242 | Val Acc: 0.8393 | Val F1: 0.8046
Epoch 008 | Loss: 0.4101 | Val Acc: 0.8384 | Val F1: 0.8029
Epoch 009 | Loss: 0.4188 | Val Acc: 0.8384 | Val F1: 0.8025
Epoch 010 | Loss: 0.3834 | Val Acc: 0.8336 | Val F1: 0.7957
Epoch 011 | Loss: 0.3622 | Val Acc: 0.8336 | Val F1: 0.7957
Epoch 012 | Loss: 0.3649 | Val Acc: 0.8365 | Val F1: 0.7998
Epoch 013 | Loss: 0.3457 | Val Acc: 0.8374 | Val F1: 0.8011
Epoch 014 | Loss: 0.3251 | Val Acc: 0.8374 | Val F1: 0.8011
Epoch 015 | Loss: 0.3391 | Val Acc: 0.8374 | Val F1: 0.8011
Epoch 016 | Loss: 0.2974 | Val Acc: 0.8374 | Val F1: 0.8011
Epoch 017 | Loss: 0.2779 | Val Acc: 0.8374 | Val F1: 0.8011
Epoch 018 | Loss: 0.2784 | Val Acc: 0.8374 | Val F1: 0.8011
Epoch 019 | Loss: 0.2490 | Val Acc: 0.8478 | Val F1: 0.8158
Epoch 020 | Loss: 0.2387 | Val Acc: 0.9093 | Val F1: 0.8961
Epoch 021 | Loss: 0.2281 | Val Acc: 0.9367 | Val F1: 0.9295
Epoch 022 | Loss: 0.2199 | Val Acc: 0.9414 | Val F1: 0.9350
Epoch 023 | Loss: 0.1965 | Val Acc: 0.9442 | Val F1: 0.9383
Epoch 024 | Loss: 0.1716 | Val Acc: 0.9442 | Val F1: 0.9381
Epoch 025 | Loss: 0.1904 | Val Acc: 0.9461 | Val F1: 0.9403
Epoch 026 | Loss: 0.1650 | Val Acc: 0.9537 | Val F1: 0.9490
Epoch 027 | Loss: 0.1283 | Val Acc: 0.9565 | Val F1: 0.9526
Epoch 028 | Loss: 0.1266 | Val Acc: 0.9612 | Val F1: 0.9579
Epoch 029 | Loss: 0.1276 | Val Acc: 0.9584 | Val F1: 0.9547
Epoch 030 | Loss: 0.1147 | Val Acc: 0.9537 | Val F1: 0.9492
Epoch 031 | Loss: 0.1167 | Val Acc: 0.9527 | Val F1: 0.9481
Epoch 032 | Loss: 0.1171 | Val Acc: 0.9556 | Val F1: 0.9514
Epoch 033 | Loss: 0.1204 | Val Acc: 0.9556 | Val F1: 0.9517
Epoch 034 | Loss: 0.0921 | Val Acc: 0.9603 | Val F1: 0.9572
Epoch 035 | Loss: 0.1019 | Val Acc: 0.9594 | Val F1: 0.9561
Epoch 036 | Loss: 0.0941 | Val Acc: 0.9603 | Val F1: 0.9570
Epoch 037 | Loss: 0.0905 | Val Acc: 0.9612 | Val F1: 0.9580
Epoch 038 | Loss: 0.0893 | Val Acc: 0.9650 | Val F1: 0.9623
Epoch 039 | Loss: 0.0818 | Val Acc: 0.9650 | Val F1: 0.9624
Epoch 040 | Loss: 0.0748 | Val Acc: 0.9612 | Val F1: 0.9584
Epoch 041 | Loss: 0.0726 | Val Acc: 0.9660 | Val F1: 0.9634
Epoch 042 | Loss: 0.0681 | Val Acc: 0.9679 | Val F1: 0.9653
Epoch 043 | Loss: 0.0664 | Val Acc: 0.9698 | Val F1: 0.9673
Epoch 044 | Loss: 0.0739 | Val Acc: 0.9745 | Val F1: 0.9725
Epoch 045 | Loss: 0.0660 | Val Acc: 0.9669 | Val F1: 0.9646
Epoch 046 | Loss: 0.0573 | Val Acc: 0.9669 | Val F1: 0.9646
Epoch 047 | Loss: 0.0640 | Val Acc: 0.9754 | Val F1: 0.9736
Epoch 048 | Loss: 0.0621 | Val Acc: 0.9783 | Val F1: 0.9765
Epoch 049 | Loss: 0.0575 | Val Acc: 0.9802 | Val F1: 0.9786
Epoch 050 | Loss: 0.0566 | Val Acc: 0.9764 | Val F1: 0.9746
Epoch 051 | Loss: 0.0533 | Val Acc: 0.9764 | Val F1: 0.9746
Epoch 052 | Loss: 0.0564 | Val Acc: 0.9754 | Val F1: 0.9736
Epoch 053 | Loss: 0.0506 | Val Acc: 0.9773 | Val F1: 0.9756
Epoch 054 | Loss: 0.0445 | Val Acc: 0.9773 | Val F1: 0.9756
Epoch 055 | Loss: 0.0500 | Val Acc: 0.9783 | Val F1: 0.9766
Epoch 056 | Loss: 0.0455 | Val Acc: 0.9783 | Val F1: 0.9766
Epoch 057 | Loss: 0.0485 | Val Acc: 0.9783 | Val F1: 0.9766
Epoch 058 | Loss: 0.0435 | Val Acc: 0.9783 | Val F1: 0.9765
Epoch 059 | Loss: 0.0473 | Val Acc: 0.9811 | Val F1: 0.9796
Epoch 060 | Loss: 0.0471 | Val Acc: 0.9802 | Val F1: 0.9786
Epoch 061 | Loss: 0.0434 | Val Acc: 0.9754 | Val F1: 0.9735
Epoch 062 | Loss: 0.0412 | Val Acc: 0.9745 | Val F1: 0.9725
Epoch 063 | Loss: 0.0447 | Val Acc: 0.9754 | Val F1: 0.9735
Epoch 064 | Loss: 0.0387 | Val Acc: 0.9783 | Val F1: 0.9765
Epoch 065 | Loss: 0.0409 | Val Acc: 0.9792 | Val F1: 0.9775
Epoch 066 | Loss: 0.0404 | Val Acc: 0.9802 | Val F1: 0.9786
Epoch 067 | Loss: 0.0420 | Val Acc: 0.9764 | Val F1: 0.9745
Epoch 068 | Loss: 0.0394 | Val Acc: 0.9735 | Val F1: 0.9715
Epoch 069 | Loss: 0.0369 | Val Acc: 0.9745 | Val F1: 0.9725
Epoch 070 | Loss: 0.0367 | Val Acc: 0.9802 | Val F1: 0.9786
Epoch 071 | Loss: 0.0396 | Val Acc: 0.9811 | Val F1: 0.9796
Epoch 072 | Loss: 0.0395 | Val Acc: 0.9802 | Val F1: 0.9786
Epoch 073 | Loss: 0.0350 | Val Acc: 0.9754 | Val F1: 0.9735
Epoch 074 | Loss: 0.0377 | Val Acc: 0.9773 | Val F1: 0.9756
Epoch 075 | Loss: 0.0341 | Val Acc: 0.9811 | Val F1: 0.9796
Epoch 076 | Loss: 0.0329 | Val Acc: 0.9764 | Val F1: 0.9746
Epoch 077 | Loss: 0.0367 | Val Acc: 0.9754 | Val F1: 0.9736
Epoch 078 | Loss: 0.0357 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 079 | Loss: 0.0331 | Val Acc: 0.9783 | Val F1: 0.9766
Early stopping at epoch 79
Final Test Accuracy: 0.8822 | Test F1: 0.8782

Ablation Study - 1 Layer:
